,predictions
821,"(456, 592)"
822,"(458, 593)"
823,"(459, 594)"
824,"(459, 595)"
825,"(460, 595)"
826,"(462, 596)"
827,"(464, 597)"
828,"(465, 598)"
829,"(467, 599)"
830,"(467, 599)"
831,"(467, 600)"
832,"(468, 600)"
833,"(469, 601)"
834,"(470, 602)"
835,"(470, 602)"
836,"(470, 602)"
837,"(471, 603)"
838,"(472, 603)"
839,"(473, 603)"
840,"(474, 603)"
841,"(475, 604)"
842,"(476, 602)"
843,"(480, 597)"
844,"(483, 593)"
845,"(485, 590)"
846,"(487, 588)"
847,"(489, 586)"
848,"(492, 585)"
849,"(495, 584)"
850,"(497, 582)"
851,"(500, 581)"
852,"(503, 579)"
853,"(505, 578)"
854,"(508, 577)"
855,"(510, 575)"
856,"(512, 575)"
857,"(513, 575)"
858,"(515, 574)"
859,"(517, 573)"
860,"(518, 573)"
861,"(521, 572)"
862,"(523, 571)"
863,"(524, 571)"
864,"(525, 570)"
865,"(527, 569)"
866,"(529, 569)"
867,"(530, 568)"
868,"(531, 568)"
869,"(533, 568)"
870,"(535, 567)"
871,"(536, 567)"
872,"(538, 567)"
873,"(539, 566)"
874,"(541, 566)"
875,"(542, 566)"
876,"(543, 565)"
877,"(545, 565)"
878,"(547, 564)"
879,"(548, 563)"
880,"(549, 563)"
881,"(549, 563)"
882,"(550, 563)"
883,"(551, 562)"
884,"(552, 560)"
885,"(553, 561)"
886,"(554, 561)"
887,"(555, 560)"
888,"(557, 560)"
889,"(558, 560)"
890,"(559, 559)"
891,"(561, 559)"
892,"(561, 559)"
893,"(561, 558)"
894,"(562, 558)"
895,"(563, 558)"
896,"(563, 556)"
897,"(562, 553)"
898,"(561, 550)"
899,"(562, 549)"
900,"(564, 548)"
901,"(566, 547)"
902,"(567, 545)"
903,"(570, 544)"
904,"(572, 542)"
905,"(574, 541)"
906,"(576, 540)"
907,"(577, 538)"
908,"(578, 537)"
